X,Y,FID,Location,Date,Work_Order
-8469776.82740866,5318076.31168098,167,"510 Hillsboro Pkwy, Syracuse, New York, 13214",2021/11/15 00:00:00+00,Main Break/Leak
-8481943.61607165,5321719.37283345,168,"475 State Fair Blvd, Syracuse, New York, 13204",2021/11/15 00:00:00+00,Main Break/Leak
-8478861.6662048,5319585.07335598,169,"120 Richmond Ave, Syracuse, New York, 13204",2021/11/16 00:00:00+00,Main Break/Leak
-8477934.50090215,5314729.80351673,170,923 W. Lfayette Ave,2021/11/17 00:00:00+00,Main Break/Leak
-8478334.27012366,5320447.99709515,171,300 Maltbie St,2021/11/22 00:00:00+00,Main Break/Leak
-8473052.50324524,5319327.76399988,172,"2005 E Fayette St, Syracuse, New York, 13224",2021/11/23 00:00:00+00,Main Break/Leak
-8470708.85634556,5319103.50955566,173,204 DeMong Dr,2021/11/24 00:00:00+00,Main Break/Leak
-8476373.46434486,5320240.4010726,174,James St. @ N. Mcbride St.,2021/11/24 00:00:00+00,Main Break/Leak
-8479224.54461911,5319292.9502738,175,"787 Erie Blvd W, Syracuse, New York, 13204",2021/11/24 00:00:00+00,Main Break/Leak
-8476203.53939894,5313036.67131686,176,E. Florence Av @ S. Salina St,2021/11/24 00:00:00+00,Main Break/Leak
-8478295.44851493,5320870.41668222,177,357 Spencer St.,2021/11/27 00:00:00+00,Main Break/Leak
-8478363.39607471,5320833.41039707,178,"373 Spencer St, Syracuse, New York, 13204",2021/11/27 00:00:00+00,Main Break/Leak
-8473689.45664628,5315638.62017643,179,"513 Buckingham Ave, Syracuse, New York, 13210",2021/11/30 00:00:00+00,Main Break/Leak
-8473689.45664628,5315638.62017643,180,"513 Buckingham Ave, Syracuse, New York, 13210",2021/12/01 00:00:00+00,Main Break/Leak
-8471353.14454076,5321290.95409188,181,Arch St. @ Caleb Ave.,2021/12/01 00:00:00+00,Main Break/Leak
-8472793.81988184,5318797.75933653,182,"2600 E Genesee St, Syracuse, New York, 13224",2021/12/07 00:00:00+00,Main Break/Leak
-8471927.11596808,5317283.4710708,183,Euclid Av. @ Standish Dr.,2021/12/07 00:00:00+00,Main Break/Leak
-8472177.63302038,5318521.36578663,184,E. Genesee St. @ Bradford Pkwy,2021/12/08 00:00:00+00,Main Break/Leak
-8473057.73491873,5319302.77277678,185,"2000 E Fayette St,  Syracuse,  New York,  13224",2021/12/08 00:00:00+00,Main Break/Leak
-8479646.24535743,5318037.91697356,186,718 Delaware St.,2021/12/08 00:00:00+00,Main Break/Leak
-8471927.11596808,5317283.4710708,187,"Euclid Ave & Standish Dr, Syracuse, New York, 13224",2021/12/08 00:00:00+00,Main Break/Leak
-8470319.45341401,5318528.16660163,188,"223 DeForest Rd, Syracuse, New York, 13214",2021/12/08 00:00:00+00,Main Break/Leak
-8482421.95492707,5315586.24393553,189,"113 Rockwood Pl, Syracuse, New York, 13215",2021/12/08 00:00:00+00,Main Break/Leak
-8479096.87903902,5317310.10530998,190,"101 Elliott St, Syracuse, New York, 13204",2021/12/08 00:00:00+00,Main Break/Leak
-8481349.96301826,5316651.48547635,191,105 Sunhill Terr,2021/12/09 00:00:00+00,Main Break/Leak
-8470570.91266834,5319897.15209683,192,907 Hazelwood Ave,2021/12/10 00:00:00+00,Main Break/Leak
-8472939.99757288,5319300.75087534,193,2100 E. Fayette St,2021/12/14 00:00:00+00,Main Break/Leak
-8478089.50573405,5323689.40726386,194,"Wolf St & Grant Blvd, Syracuse, New York, 13208",2021/12/14 00:00:00+00,Main Break/Leak
-8477819.85091845,5320658.48736511,195,"Dupli Park Dr., Syracuse, New York, 13204",2021/12/15 00:00:00+00,Main Break/Leak
-8471009.02352547,5320242.739461,196,"2716 Erie Blvd E, Syracuse, New York, 13224",2021/12/20 00:00:00+00,Main Break/Leak
-8475861.32916573,5319270.60422839,197,FORMAN AVE @ ORANGE ALLEY,2021/12/22 00:00:00+00,Main Break/Leak
-8474422.24527916,5319645.552123,198,"1449 Erie Blvd E, Syracuse, New York, 13210",2021/12/23 00:00:00+00,Main Break/Leak
-8473981.61047821,5323085.71280898,199,1804 Teall Ave.,2021/12/23 00:00:00+00,Main Break/Leak
-8478314.86391204,5319105.87140478,200,307 Marcellus St.,2021/12/23 00:00:00+00,Main Break/Leak
-8477083.5026699,5319039.39693908,201,440 S. Warren St.,2021/12/28 00:00:00+00,Main Break/Leak
-8478262.20194815,5317675.99354506,202,679 W. Onondaga St,2021/12/28 00:00:00+00,Main Break/Leak
-8479586.63282735,5319307.08366345,203,922 Erie Blvd W.,2021/12/28 00:00:00+00,Main Break/Leak
